679,318,508,958,765,940,290,361,735,438
379,801,450,38,631,266,934,157,364,501
730,569,76,285,201,286,868,184,920,196
208,429,79,976,955,108,308,156,545,822
327,562,284,258,245,277,343,723,700,414
529,999,361,922,438,318,494,784,155,800
515,828,301,367,866,269,645,170,480,921
31,21,917,834,458,524,729,630,390,88
563,250,518,331,128,965,275,415,350,566
336,422,104,91,420,135,881,939,713,241
272,281,648,238,539,217,632,893,19,710
857,415,289,965,732,566,331,15,759,641
881,276,939,703,104,336,9,74,29,749
499,439,753,737,348,196,624,468,96,879
517,486,224,665,645,694,445,301,726,697
399,732,855,759,11,857,974,875,641,415
757,995,911,585,674,571,898,448,768,355
554,638,851,925,417,627,303,103,19,707
505,903,295,787,519,683,249,788,400,935
238,554,17,648,10,690,893,638,272,925
139,677,194,813,634,454,397,946,64,574
458,31,7,630,457,834,917,729,88,49
107,531,882,810,978,792,373,779,446,213
45,124,106,113,128,57,275,826,808,250
625,936,236,649,681,180,44,163,423,536
502,961,736,246,781,27,791,479,377,706
614,264,105,383,129,580,371,228,481,794
479,961,736,502,25,179,246,948,296,951
988,393,602,768,898,712,780,291,192,546
460,703,841,74,491,12,618,670,365,375
869,95,635,524,729,88,54,917,908,49
7,21,458,834,630,917,457,729,524,390
583,71,649,200,162,625,423,24,936,236
279,216,363,577,949,597,913,611,607,381
871,374,739,329,858,870,733,175,145,630
874,833,790,747,861,67,395,573,234,436
795,63,551,42,453,180,668,507,385,423
319,322,576,626,644,158,620,775,70,978
450,770,631,313,1,605,364,379,856,947
204,776,676,555,369,384,248,969,682,176
661,934,501,241,814,266,817,504,77,801
287,211,928,695,232,943,385,668,714,835
668,385,232,536,795,36,163,63,681,44
804,824,598,487,261,432,923,87,217,426
163,681,536,236,340,998,24,625,936,42
23,106,124,275,808,113,128,57,803,992
419,542,489,220,347,538,621,783,467,777
924,251,815,889,896,558,588,919,666,731
678,722,984,273,53,785,682,186,437,952
908,88,729,733,630,329,7,869,917,31
231,332,337,230,484,402,931,171,444,168
122,662,164,967,620,669,322,576,644,863
888,73,294,957,887,920,127,581,717,689
785,151,443,437,48,678,960,847,745,478
240,292,314,869,587,326,612,30,885,378
328,967,123,912,158,70,164,644,626,115
689,957,760,294,516,859,323,867,886,920
113,826,124,23,106,190,45,312,128,992
218,836,482,144,751,929,636,993,120,464
366,820,200,99,424,905,583,509,412,846
574,619,642,811,183,818,813,72,685,651
358,150,572,97,96,495,771,672,753,624
548,534,633,298,117,693,274,93,842,872
36,795,551,180,453,42,423,936,681,668
677,139,579,454,750,263,447,20,825,300
744,541,863,546,669,122,712,193,662,393
205,793,610,916,657,741,335,146,675,821
395,573,874,234,747,861,35,833,436,453
946,454,938,194,680,719,864,825,750,72
615,982,560,570,533,304,315,339,307,202
158,626,328,55,115,644,978,373,775,576
162,32,423,649,180,583,625,573,936,24
938,680,60,946,932,194,574,68,619,642
887,52,127,581,888,306,717,294,673,920
491,460,618,703,365,29,749,12,841,276
165,688,872,903,991,725,683,787,249,18
2,730,196,569,868,572,286,358,285,201
895,661,504,814,86,749,559,241,276,845
81,488,993,796,440,125,734,952,751,836
308,545,156,3,132,108,653,822,208,976
987,778,975,474,413,550,670,647,798,298
488,78,796,440,125,993,734,464,708,751
752,724,199,219,860,797,948,330,843,623
685,819,813,153,619,811,884,574,183,634
452,971,351,466,148,428,761,338,425,470
430,543,134,899,94,831,477,297,877,130
559,749,895,845,77,504,618,814,126,365
432,575,923,261,426,43,804,824,487,143
729,49,908,630,733,7,917,524,635,31
472,839,809,243,299,532,640,883,509,846
818,642,183,843,819,811,651,860,685,837
422,9,241,336,881,276,104,420,817,135
431,816,711,941,764,155,865,520,497,181
177,333,745,892,847,960,842,117,298,478
130,600,278,740,877,368,430,85,291,134
30,635,869,524,917,612,729,54,88,267
97,624,753,499,61,358,150,572,13,196
96,358,572,753,61,499,624,196,150,13
182,927,528,447,456,396,535,300,718,401
820,366,59,509,200,424,583,905,846,412
865,155,166,431,506,922,816,92,529,862
213,779,983,953,233,792,893,989,281,115
138,436,485,589,242,234,283,833,441,507
627,417,303,851,925,772,973,540,418,638
336,9,939,135,881,420,422,346,91,12
614,383,26,264,371,280,228,187,129,580
45,23,113,992,124,57,826,370,786,275
22,531,792,586,779,373,213,882,978,810
822,653,156,942,545,132,3,79,208,981
136,935,317,400,407,806,883,243,405,839
876,522,754,794,762,781,152,791,481,206
873,743,937,902,584,556,639,172,802,212
547,590,293,671,848,890,897,476,121,525
57,826,124,106,23,45,190,992,128,312
262,604,713,166,800,684,135,420,346,922
953,983,70,609,328,324,55,373,123,213
235,637,253,119,133,143,575,203,990,954
842,578,214,892,478,177,93,847,991,745
727,437,958,798,474,745,333,960,735,550
253,637,133,116,954,169,235,203,990,145
237,849,469,765,751,940,836,144,993,58
897,160,222,840,547,812,141,848,398,659
669,51,662,863,65,744,620,164,967,541
912,582,255,328,55,310,609,510,226,967
57,113,23,826,45,106,128,190,312,275
440,796,734,488,708,344,137,821,81,741
471,229,845,504,608,838,895,814,334,559
887,73,581,52,572,673,358,672,888,306
250,275,23,124,45,8,808,57,518,113
580,264,371,383,26,614,187,854,481,850
600,94,740,877,278,291,368,134,416,85
717,918,352,306,225,888,886,323,404,207
545,156,653,942,108,822,79,185,981,3
637,119,145,116,235,253,169,870,954,827
877,85,291,130,94,600,738,740,756,430
420,713,346,336,9,104,262,422,939,91
109,317,935,806,400,883,407,243,839,640
344,708,741,821,734,125,440,146,979,675
102,436,234,833,395,283,67,790,874,35
677,20,64,194,454,946,634,966,397,750
769,212,639,802,584,493,933,359,172,937
956,342,406,840,659,980,968,121,812,617
398,782,767,222,812,844,261,981,87,968
235,116,575,637,253,87,354,432,119,382
482,58,218,994,237,929,120,836,469,636
870,374,133,169,739,637,34,119,954,329
675,335,435,793,205,741,356,147,657,137
356,435,675,146,335,321,998,248,176,137
595,894,853,470,761,451,698,466,452,84
386,254,758,552,654,372,228,915,959,330
495,61,771,358,96,97,572,672,357,624
443,785,53,847,478,960,892,745,177,964
762,915,959,552,654,522,876,794,372,706
83,884,634,397,685,819,813,951,296,966
189,621,221,746,362,777,302,592,489,542
865,100,816,431,764,529,92,166,5,922
545,132,653,108,79,942,822,3,185,308
394,577,216,526,266,949,692,379,1,597
626,644,576,322,70,620,37,967,55,328
483,510,616,709,832,496,774,972,786,992
897,121,222,398,547,812,840,112,968,142
891,667,716,701,810,882,446,986,511,941
71,423,32,573,180,453,67,936,395,649
536,44,681,998,42,340,668,236,385,24
967,51,662,55,122,483,328,123,912,159
872,688,75,991,214,725,117,578,842,62
100,865,114,922,155,506,431,604,800,262
433,401,966,300,397,634,997,962,447,182
444,402,931,337,332,171,484,480,606,269
954,203,119,870,145,133,374,253,637,630
269,402,230,332,337,866,168,231,444,6
484,931,444,606,337,332,402,168,50,480
584,639,743,698,937,212,111,451,761,873
244,591,463,259,705,411,557,553,905,599
763,252,567,257,392,188,596,178,247,643
858,910,871,34,739,459,378,977,763,596
613,186,682,248,984,979,722,776,39,204
93,745,892,847,960,333,842,478,117,578
527,188,257,223,710,567,392,742,174,690
345,479,27,914,296,699,962,997,961,951
936,625,24,423,63,681,649,236,36,795
862,711,431,497,506,674,92,511,571,100
98,927,528,300,447,401,456,167,433,396
